末代皇帝 The Last Emperor
贝纳尔多·贝托鲁奇
尊龙,陈冲,邬君梅,彼得·奥图尔,英若诚,吴涛,黄自强,丹尼斯·邓恩,坂本龙一,马吉·汉,里克·扬,田川洋行,苟杰德,理查德·吴,皱缇格,陈凯歌,卢燕,区亨利,陈述,鲍皓昕,黄文捷,邵茹贞,亨利·基,张良斌,梁冬,康斯坦丁·格雷戈里,黄汉琪,王涛,宋怀桂,蔡鸿翔,程淑艳,张天民
片长:
"
"
UserName,Watched Already,Comments,Dates,Review_Score,Upvote
光年‖影视歌三栖民工,看过,溥仪登基之初的十六抬大辇，和片末游行时红卫兵扛在肩上的毛泽东像，讽刺意味浓重。感觉导演还想告诉我更多的东西。但我更多是对这位末代皇帝的同情，还有艳慕。。。好喜欢大被同床的双飞镜头。,2009-03-18 15:52:04,allstar50 rating,9014
单线程青年,看过,不偏袒的好片儿！一个进自己原来的宫殿还要买票的皇帝。,2008-03-24 09:06:17,allstar50 rating,7664
托尼·王大拿,看过,"尽管看一群中国人在屏幕上讲英语很是奇怪，但不能否认这是部出色的电影：它与国家无关，与王朝无关，这只是一个渴望自由却不得的人的编年史；""门""的意象被反复提及，寓意溥仪被禁闭的一生；贝托鲁奇娴熟的运镜，要人命的广角自然光，美妙的配乐。",2011-03-21 16:43:30,allstar50 rating,5157
蓝白江原道,看过,#深圳百老汇意大利影展# 资料馆修复全损音质版，二刷。既然是贝托鲁奇的话，用拉康也就不牵强了。直到嬷嬷离开的那一刻，才是溥仪真正离开母体的时刻，婴儿阶段如此之长，使得精神分娩也格外地疼痛，坂本龙一配乐的每一次响起，几乎都是他阵痛的回音。当来到第二阶段，亦师亦父的庄士敦英国人的身份使得这又是一次“误认”，当这位末代皇帝既失去了母亲，又误认了父亲时，他对身份的追寻成为一次次的谬误，于是“割发”不是现代意义的新生，而是自我阉割。从今往后，全是虚假，全是赝品。也因此，两个妻子、两位女性成为在悲凉之雾遍布的华林中唯二清醒的局中人，文秀用离婚背弃了虚假，婉容吃花，啃食真实。贝托鲁奇和斯特拉罗以洞见看到并拍出了历史的鬼魅感，天作之合。,2019-06-14 00:35:33,allstar50 rating,1
小月,看过,很喜欢溥仪的外国老师。不知道真实的历史到底是什么样子，我想可能很少有人能还历史一个真面目，因为每个人都有自己的观点，而且一传十，十传百，经过这么多人的嘴（或笔），经过这么多年，历史还真实吗？或者说，应该会有相对的真实性。不管怎样，这个片子对于封建王朝的讽刺还是清晰可见的。,2013-01-23 18:08:04,allstar40 rating,0
Ron Chan,看过,用导演的话说就是：溥仪是在特定历史条件下无法摆脱被囚禁命运的生命个体，成份复杂、面目模糊的一个可以和观众进行心灵沟通的人。,2011-06-28 01:00:03,allstar50 rating,1
魏小河,看过,超级后现代。皇宫里，打网球，讲英语。,2010-04-07,comment-time ,6
lulu,看过,意大利人用自己的传奇拍出了封建中国的杯具人物传记。溥仪，封建社会半殖民社会活脱脱的牺牲品，你的存在也足够讽刺到今天。影片色彩艳丽，对比强烈，人物造型像惨了历史照片，相当逼真。全片亮点：溥仪3p、高举老毛子头像。,2012-09-11 18:03:54,allstar50 rating,3
芥末蘸酱,看过,莫名的悲哀 ~ 2016.4.12 @中国电影资料馆 3D版。,2009-07-13 16:38:01,allstar50 rating,2
雲無憂,看过,60届奥斯卡最佳影片、最佳导演、最佳改编剧本、最佳摄影、最佳美工、最佳服装设计、最佳剪辑、最佳音响效果、最佳原创音乐,2009-02-03 08:24:47,allstar40 rating,0
Nakadai,看过,溥仪的生平也正是一部浓缩的现代中国史，片中对各个时期的中国都有很精准的描绘。难得的是其所用视角不含褒贬，以冷静的观察时代变迁对于一个人的影响。作为最后一个帝王，他的象征意义非常重大，以致于举足轻重。对于他自己来说，这样的人生是悲剧的；对于别人来说，他的存在有纷杂的意义。,2013-06-14 22:07:52,allstar40 rating,2
aicbgyihai,看过,终于在N年之后看了原声版，前半段的英语看得频繁笑场，后面渐入佳境。同一句prove it，再也不一样的人和事。最后对某party的讽刺意味深长。另外现在才发现庄士敦居然是O'Toole演的。。。,2012-03-10 02:38:22,allstar50 rating,0
化學超爛男子,看过,先不論那華美精巧至極以至於讓人神智迷離的場景設計與攝影手法，這真是無比蒼涼的一部電影。一個義大利導演居然可以將全中國最偉大的位置與最可怕的枷鎖這一切如此精準且動人的詮釋，精彩至極！,2009-11-02 21:58:25,allstar50 rating,2
Goosie,看过,他拥有的和无法拥有的都是无奈且让人同情。除去他特殊的身份，仅仅是对一个的关怀，我不能不对他感到怜悯。他本应该同中国历代皇帝一样，驰骋沙场平息战乱，指点江山安抚社稷，去做一个皇帝应该做的事，拥有一国之君应该拥有的东西。他追赶他的东西，最终只能在紫禁城门口停下。没有阳光照射的前半生。,2012-10-28 15:27:13,allstar40 rating,0
叫我夏末Summer,看过,3岁登基，此时他只是个喜欢玩蛐蛐的小孩。少年时封建王朝被推翻，中华民国统帅进驻紫禁城，这时他已经对西洋文化感兴趣。青年时在天津静园，不管外界混乱而沉迷在自己的梦中。中年时终于如愿以偿当上满洲国皇帝，谁知只是傀儡政权。日本无条件投降时，没能逃跑成的他成了新中国的一级战犯。他这一生。,2012-09-12 17:25:58,allstar50 rating,1
Lady .F,看过,虽然演员清一色说英文，可是在整个气氛的引导下大家都有一种特殊的属于那个时期的气质，配乐场景以及一些政治暗示极佳，不得不说，也许只有外国人才能拍出最诚实的作品。。。PS：我说那位有气场的大叔是谁呢？原来是大名鼎鼎的版本龙一啊，瞎了我的狗眼,2012-04-14 23:54:12,allstar40 rating,1
迟未末与蹭得累,看过,幼时在姥爷的房间里翻过一本《电影画报》还是《大众电影》已经记不清了，里面逐格刊载连环画似的电影《末代皇帝》。大师精良的手笔，镜头光影自然、沉着大气，教授的原声，英文对白和夹杂其中的北京话。也只不过能在银幕前感叹这个“平庸”的“战犯”被历史的大潮拍打得翻来覆去的半生身不由己。,2011-03-14 14:24:53,allstar50 rating,0
记忆碎片,看过,在历史的洪流中，末代皇帝也只是一个无法改变命运的人，他做的努力都是徒劳的。本片各方面表现很完美，只有一点很致命，非常影响代入感，那就是一水的英语发音，甚至连清宫内部也是一口英文。。。另外值得一提的是本片配乐恢弘大气，恰到好处的烘托了历史的变革，是本片有了史诗的感觉。,2012-02-11 13:42:58,allstar50 rating,0
尘世土著,看过,上学的时候看过一遍 至少 改造那段 比傅仪《我的前半生》更加接近真实吧。电影本身也比较有张力，特别是晚年溥仪佝偻着重进紫禁城的片段，很有冲击力。中国两千多年多少个皇帝，帝国没了，他，竟然活了下来，他做何感想？,2012-12-30 15:05:40,allstar50 rating,1
cowsumy,看过,"a move wonderful film.the emperor,i wanna cry.",2008-12-17 21:44:38,allstar50 rating,0
熊扑奶团、,看过,很棒的一部中国电影，主演演技都是一流。故宫取景，陈冲嚼花那段真的美到了。,2018-10-13 22:42:43,allstar50 rating,8
绿小野马,看过,BIFF重看3D修复版。在细节的处理和对中国历史的理解方面都达到了令人肃然起敬的程度。导演对历史中这一个随风飘摇的人物的同情，远远大于任何对政治的书写,2013-03-04 23:25:39,allstar50 rating,2
容安,看过,"一位意大利导演拍中国的历史。并且如此精彩，甚至说掌握到了历史的脉络走向。那么，何时会有中国导演来记录自己国家的历史呢。我指的是，真实的记录。
这部电影无论在剧情，音乐，道具等等各方面都尽量还原了历史，而不是如同现在时兴的大量古装剧历史剧，一味的野说。
中华民族，这个古老的几千年的民族，目前为止的最后一位皇帝，本就很富传奇色彩。尤其在动荡不安的年代，其中历史与现代的冲突，旧与新的冲突，表现得尤为突出。对各人而言，无疑是坎坷的一生。放弃政治色彩和意识形态，只当作一个人的回忆录来记录，我们便看到幼年孤独寂寞",2009-02-13 15:27:56,allstar40 rating,0
Bill,看过,佳作 有人称其为外国人眼中的中国历史 可是什么叫外国人眼中的中国历史 什么叫中国人眼中的中国历史呢？,2008-07-18 00:03:39,allstar50 rating,2
凹凸曼|㍿,看过,还原了中国最后一个封建皇帝所经历的人间百态，他的一生本身就是个传奇的故事 （顺便吐个槽：导演上哪找这么多讲英文的中国人，一股强烈的违和感= =）,2012-09-10 10:05:09,allstar40 rating,0
读书超慢,看过,配着影评了解影片拍摄背景，看起来会更加带有敬佩之心。英文台词安在众多中国人的身上感觉有点怪异，但谁让这是一部国际影片。如果让溥仪再选一次，他是否愿意生为百姓。,2011-06-05 08:13:56,allstar40 rating,0
平成宅叔,看过,总算是看完了这部传说中的神作。一生都被囚禁于牢笼之中，溥仪的命运，即清朝的命运，亦封建帝国的命运。通篇的英文对白，竟毫无违和感。,2018-08-23 00:31:50,allstar50 rating,1
CICI WANG,看过,出色的地方是配乐、用色、镜头调度和中立的立场，已经被无数人称赞。虽然这对一个外国人非常的不容易，但导演对中国文化的运用以及故事表达还是相当脸谱化的。如果是描述一个架空的末代皇帝，或许更好。,2013-03-25 10:12:21,allstar40 rating,0
Η²,看过,小时候在电视台看过很多次，我也不知道为什么会看过很多次，那时候各地方台还没分出电影频道，都是会在暑期或者某个时段播放经典电影或者大片，比如就在湖南台前身午夜时分看过《食神》，成为我认为最棒的周星驰电影，看完别提多开心多兴奋。那么剧情也忘的差不多了，记得溥仪骑自行车，陈冲的奶，还要啥，登机，然后就是那段比较难忘的配乐。80年代，可以这样来中国拍这样的电影，也是后无来者了。,2020-06-22 19:11:45,allstar50 rating,0
yamamaya,看过,第一次看这部电影是在7、8岁的时候，后来在一年多之前完整地看了第二遍，这是最好的讲中国的电影，承载了有关这个国家的所有宏大主题，命运与时代的洪流裹挟着渺小而卑微的个人，犹如无根浮萍，终是一江春水向东流,2010-08-06 18:26:50,allstar50 rating,0
北窓,看过,“陛下，你的孝胥因为出家做了和尚，不能担任总理了。”,2015-06-17 00:53:28,allstar50 rating,6
Morgan,看过,旁观者清！当以一个外国人的视角来看，我们看见了更冷静的表现和思考。溥仪的一生浓缩中国一个时代的缩影，他的兴衰荣辱比我们每一个人都多吧，更多的是同情和无奈。作为清朝最后一个皇帝，他有复清的遗愿；作为中国最后一个皇帝，他只是被历史选择来承受历史承上启下的疼痛的小孩而已。,2013-08-25 19:44:23,allstar40 rating,0
慎独,看过,有个镜头是一堆人骑自行车在等绿灯，溥仪也在其中。猛然想到一句：泯然众人矣。曾经的天之骄子，现在回家还要买门票。戏剧的一生连yy文都无法睥睨。,2014-12-01 23:11:53,allstar50 rating,2
碧兰溪,看过,看的3个半小时加长版。最喜欢最后一段，完全是大师手笔，举重若轻。归来池苑皆依旧，流离一生，他最终回到了小时候，旧时坐过的龙座，以及龙座后的那只蝈蝈。最动人的一句话是由小溥仪说出的。“But she's not my wet nurse. She's my butterfly.”,2018-05-13 20:16:57,allstar50 rating,2
陈陈,看过,如果内心洋化的中国人叫做香蕉人，那么这个电影就当之无愧的香蕉电影。那个对白即便翻译成中文也别扭来着。“我是至高无上的慈喜太后”。。。这句真雷死我了。。。另，里面有个日本角色疑似坂本龙一客串。。。P。S。不知怎的，挺喜欢陈冲的婉容。,2009-04-28 21:40:59,allstar40 rating,0
找自己,看过,外国人视角中溥仪的一生。2019.6.19又重温了一遍，三个小时还是能看的进去，悲情人物，被禁锢的一生。,2011-10-31 15:42:30,allstar50 rating,0
黄海,看过,一个人的故事！节奏掌握的很好，长镜头使用恰到好处。最后的造反有理更是突出了主题。主题我反而不想说了。,2012-07-11 19:32:24,allstar50 rating,1
有心打扰,看过,权利步步跌低，时代层层变迁。美丽的故宫凝视着历史。住在紫禁城的人是孤独的，而紫禁城本身也是孤独！,2012-03-19 21:23:21,allstar30 rating,1
七海,看过,溥仪的内心其实始终是个孩子。所有他所以为的牢笼，其实都是他一道不可或缺的保护层。当他失去奶妈，失去皇宫，失去贵妃，他其实也在渐渐失去自己。他想要的安全，只是一己私欲的安全，为了这一己私欲，他可以出卖帝国，成为傀儡。他始终都没有长大，末代皇帝也始终没有放弃他不死的皇朝之梦。,2010-11-06 18:16:20,allstar50 rating,1
小乙,看过,我操这结局就算被透了还是眼泪哗哗的。【这不是史传，只是一个故事，是一个丰满的人物。借着旁人的眼光我们也许能更好地认识自己。真TM大气啊，细节却又处处落实，喜欢那些个隐喻。满洲那里有点HOLD不住的感觉，喜欢最前面和最后面。门的意象看来大家都注意到了。光影配乐加一星！,2011-09-24 00:16:01,allstar50 rating,0
V_Lachesis,看过,"Only foreign hands can extract exotic allure out of cultural triteness. Artfully directed and strongly played, even the most grotesque rituals appear fascinating. The heaviness of history itself needs no narrative tricks, but maybe dual language? ",2011-08-11 22:01:28,allstar50 rating,2
韧勉,看过,无论音乐还是电影都是经典,2008-09-15 11:12:45,allstar50 rating,6
今生、唯爱,看过,以国际的角度看待中国最憋屈的历史时段，很公正。历史的长河中，总要有几个人来背罪名的，不是崇祯，不是妥欢帖睦尔，不是赵昺。只是苦了这个慈禧的小叔子的孙子了,2013-10-23 02:25:56,allstar40 rating,0
Nin,看过,为什么反而是一个意大利人 能把中国拍得这么美 把一切隐喻拿捏得这么恰到好处  能做到这样的中国导演大概只有李少红,2009-08-22 14:12:20,allstar50 rating,2
杨浦小囡,看过,我好郁闷，想写影评写不了，浪费了我4小时，哎,2017-11-26 14:18:22,allstar50 rating,2
litanerr,看过,花了一下午的时间重看《末代皇帝》，感慨万千，不知从何说起。如今最令我印象深刻的，竟是开场建国后政治犯们排队送往监狱，几位老百姓认出溥仪，不自觉的过来给皇上磕头。还有监狱中溥仪的仆人小李，嘴上说着“我不再是你的仆人了”，却仍走上前来为他扣纽扣、系鞋带。读《紫禁城的黄昏》的书评里，有人说庄士敦觉得中国的老百姓们并不关心当时是何国体、政体，却期待明君降世，一统太平。电影进展到一半，父亲发现是7点了，便叫我暂停转而看新闻联播。注视着父母的身影，听着电视里新闻的旁白，一时竟不知自己身处哪个时代。,2020-01-26 22:37:46,allstar50 rating,2
小田切梨,看过,溥仪傀儡的一生，想自由而不得，想说真话而不得，依恋母性而不得，在弥留之际放生了儿时的蝈蝈，也放生了自己被封存的自由，面对花匠的儿子露出稚子般的笑容，而在那一笑的背后，唏嘘六十余载，仿若庄生梦蝶，白云苍狗。尊龙一哭一笑都让人心碎。,2012-03-01 13:05:04,allstar50 rating,2
zym16zym,看过,这部片子我看两遍了，真的觉得外国人拍天朝的片子不行，像带着手套握手，带着套子做爱，隔着靴子瘙痒，这只是一部符合老美口味的奥斯卡影片。,2012-03-05 12:55:07,allstar30 rating,1
舟菖蒲,看过,所有的人你追不上，所有的门你都打不开,2018-11-17 15:34:12,allstar50 rating,5
蓝笔风,看过,人生如梦，似水似镜，梦醒镜碎，梦皆使然。史诗巨作，贝托鲁奇对《同流者》另一种形式的变奏曲，只是本片关注对象涉及的更多，所有角色都怀抱着“期望”最终都被打压，时代与个人的宿命预言论。结尾视角转换得很妙，资料馆银幕重看,2016-12-12 00:16:22,allstar50 rating,3
麦圈圈,看过,非常棒的电影，无论是营造的氛围还是音乐，非常吸引人，尤其是那些遗留的妃嫔，与现在貌美如花的宫廷戏相比，真的是太印象深刻了！,2012-05-30 20:30:08,allstar50 rating,0
榴莲妹,看过,电影很好，外国导演用另一种角度细说溥仪的一生，虽然悲哀可怜，又算是善终了。就是满嘴英文看起来感觉有点怪,2017-07-03 07:48:09,allstar40 rating,2
复印,看过,219分钟版。观看动力：戏剧化情节如何安放到忠于史实的时空中；什么叫自由。视听乐趣：故宫、满洲国宫的不同时代感如何营造——结果是长草没关系，色调更有关系。最好的中国文化电影，败笔只有一处——战俘营某审讯官演技太烂，就是那个让溥仪念“坦白从宽抗拒从严”的红脸蛋，像个天生受委屈的戏子。,2015-01-05 16:25:32,allstar50 rating,1
ly莉,看过,因为它，让我对清宫历史的神秘又添了兴趣！ -- 2008-9-23,2008-09-24 09:30:36,allstar40 rating,0
Joywhen,看过,久闻其名，一直未能观赏。惊讶于导演及制作方对不属于自己国家文化的精准拿捏，沉重的历史通过一个三起三落的傀儡皇帝的视角艺术化展现在观众面前。身为一个站在时代尖峰却失意、无力的“天子”，垂老之后只能来到曾经的辉煌巨殿前回忆沧浪一生。抛去血统，溥仪只是一个被悲剧附身的弃儿，可叹，可叹。,2016-04-09 21:38:51,allstar50 rating,2
李小庫,看过,从各个方面都是非常好的电影 难怪一举夺得了奥斯卡9项大奖 片中溥仪这个角色塑造的很成功 让我从曾经对溥仪只是一个历史中的小丑与傀儡的想法有了改观 使我觉得他是一个值得同情的人 或许他并不可怜 可是在当时的时代背景一下 他只是权力游戏中的木偶 是被利用的人 他的一生都是历史 一生也都身不由己,2018-05-01 00:30:12,allstar50 rating,0
玉娇龙,看过,我曾以为太和殿是我的，皇后是我的，紫禁城是我的，甚至这千里江山也是我的。可是到头来，我一无所有，我曾经拥有过的一切，转眼都飘散如烟。多少次午夜梦回，我端坐金銮宝殿，俯瞰芸芸众生，梦醒时分，记得我的只剩一只蝈蝈。PS:影片中扮演长官的英若诚当时是中国文化部副部长。这片奥斯卡没毛病。,2018-04-21 01:24:54,allstar40 rating,3
Vamei,看过,从一个皇帝的视角，带出中国的近代变迁。但有些太符号化。,2016-03-23 19:28:06,allstar30 rating,6
与碟私奔,看过,"【补標】DVD，蓝光影碟收藏
【2020-9-1 在港台重映之際，我再看一遍藍光4K修復版影碟】藍光三碟收藏再看。",2018-06-16 20:45:40,allstar50 rating,1
你绝对想不到因为这也出乎我意料,看过,电台大兄弟孜孜不倦的给我推荐它的原声。老外眼里的末代、老外眼里的皇帝，全英文对白的强势插入总显得有点格格不入,2010-11-25 10:50:24,allstar30 rating,0
蒜 | BOY A✎,看过,神叔啊，你说的那个太和殿“千龙吐水”的镜头，我直到最后也没有看到。。,2013-12-04 23:30:46,allstar40 rating,2
ich,看过,青少年溥仪。吴涛。帅的哟。二刷胶片，红。中后段有些困，红卫兵一出来就精神了🤔,2008-03-24 17:47:56,allstar40 rating,0
世界尽头,看过,刚听说昨天这部电影的导演去世了，真的非常遗憾。电影中有一场戏，年轻的溥仪梦想着冲出皇宫，他已经看得见门外的行人，听得见街市的嘈杂，可就在他要迈出的一刹那，太监关上了门，将他阻挡在了紫禁城内。我不知道这是溥仪的记忆，还是贝托鲁奇眼中溥仪的记忆，但是这个对记忆的描述深深地打动了我。,2018-11-27 10:47:54,allstar50 rating,5
山下猫,看过,发现很多段落都看过，但并不记得自己完整看过。三十年前的合拍电影比现在的要严谨得多，感觉是张艺谋一辈子追求但达不到的彼岸。前半展示性多过情节性。皇帝也曾是个孩子，这是视点的起点，两次追奔有着身不由己的呼应。一边在生活上西化，追求科技现代婚姻剪掉辫子，在权力上还是无法放弃传统，在今天看来都是很有意思。电影并不侧重史实，借的是“末代皇帝”这个传奇身份来诉说观影者自己的矛盾和寂寞,2020-10-24 10:24:29,allstar40 rating,0
灾星下的男人,看过, 作为新旧交替的经历者，溥仪身份发生了巨变。无论怎么挣扎，都有人成为特定时代的牺牲品，像被摔死在门上的老鼠，注定逃不出那扇为他们关上的门。,2011-12-24 06:48:06,allstar50 rating,0
小月丰er,看过,作为一部电影，不得不说非常好。在对贝托鲁奇充满敬佩的心情中看完整部电影，虽然最为一个外国人，某些中国特有的人民感情表现得似乎有些生硬。但这不是问题，问题是送头到尾都萦绕在心头的“为什么这不是中国人拍的？”中国人什么时候才能拍出这样的电影？即便多接近一些也好。,2010-02-08 10:20:16,allstar50 rating,0
seren,看过,被修复后影片的画面质量结实震撼到了，说是今年新片也完全信服。每一帧光影都是油画质感，构图亦大师。看完像做了夏日午后一个漫长悲伤又光怪陆离的梦。片尾字幕全场热烈鼓掌两次。作为今年电影节收尾太圆满。,2015-06-20 23:50:40,allstar50 rating,3
.Aмаиdα.,看过,用两个半小时讲述中国百年近代史，并且能让观众看懂，本身就已经成功了。看完后感觉像看过了一部重重的历史，局外人往往对历史比中国人本身看得更透彻。当年迈的溥仪花一毛钱买门票去看幼年的家时，他做过什么、做对于做错，都无关紧要了，这只是一个经历了中国大半个世纪以来深刻变革的普通老人。,2011-12-10 17:37:44,allstar50 rating,0
风间琉璃,看过,看完这片北影节就不亏了。坂本龙一的配乐绝了，风格也很明显，三个作曲配的乐基本上都能分出谁是谁。不过最别扭的是他们说英文（虽然片子里的中文大都说的比较正统），以及在这种语境下，溥仪想找会说英语和法语的媳妇到底是在中文的语境下还是英文的语境下？,2018-04-08 18:06:26,allstar50 rating,2
santagram,看过,这样一个人复杂的一生，居然拍的很有感情。非常多的意象符号，摔死在门上的老鼠，紧闭的大门，罐子里的蟋蟀。导演其实开了很多非常冷的小玩笑，愈发显得他的一生虚幻似泡影。,2016-07-16 23:12:00,allstar50 rating,3
飞天PP猪,看过,跟《蝴蝶君》一样，对文革年代还原的比中国电影还真实，就是他们都讲英文有点那个，我看的中文配音版配的也很出戏。尊龙演的完美，陈冲邬君梅英若诚都很精彩。看守所里有一个很像宋祖德的，妆好浓哦。那个外国老师还是透露了外国人拍的中国电影这个小秘密哟。,2010-02-08 22:04:18,allstar50 rating,2
玩酷子弟,看过,最近看那部电视剧《末代皇帝传奇》，随便重温了这部，花两晚看完，真是一部好片子。尊龙帅过头了，那么多溥仪的荧幕形象论神形兼备似乎只有黄子华。,2015-05-13 22:26:14,allstar40 rating,0
日落黄沙,看过,一个外国人把中国的故事拍的如此细腻。镜头运用的如此之好，配乐作用的如此之棒。我不敢说我真正了解了导演的真正想法和意图。但这样一部恢宏的史诗电影，真的让我想多了解我国近代史，溥仪，这一生太悲催，然而这一切都是命中注定的。,2015-12-08 22:31:12,allstar50 rating,3
垮掉的十瓶雪碧,看过,"生在最荒谬的年代里最荒谬的位子上，一个被时代辜负的人。
非常喜欢溥仪年幼时追着载着阿嬷的车跑到皇宫大门处却被门卫拦住，以及他后来在日占区追逐载着婉蓉的车到院子门口却被日本军官堵住去路这两处镜头，相互呼应，充满了一个有心无力的人面对命运的无助感。年龄的增长，以及他所做的一切努力、挣扎都没能改变他看似拥有的一切实则都是被禁锢、被他人操控并且可触不可及的这一事实，没能让他摆脱自己生为傀儡的命运。",2019-07-27 19:22:34,allstar50 rating,1
恰零几,看过,经历辉煌到傀儡到没落再到平淡，这样的一生本身就是一部电影......只是故事总是再不断轮回....（剧中违和的英文对白扣一分）,2014-05-03 00:24:01,allstar40 rating,0
苢蘩,看过,外国导演拍中国题材的电影总是更明白深刻。叙事手法及光与声的运用炉火纯青，非常有中国特色的画面仿佛第一次这样毫无阻拦地坦露出来。结局很有韵味，高高在上的位置，只有真正经历的人，才能熟稔地在最深处摸出一个童年最初的记忆来。,2011-09-22 08:24:13,allstar50 rating,1
黄叶远飞,看过,史诗般的神作，洋洋洒洒三个多小时的片长，讲述了溥仪坎坷曲折、变化莫测的一生，也展示了晚晴、民国、新中国的社会风貌。整部影片磅礴大气、场面宏大、细节考究，绝对是值得一看再看的好片。结局那段游行批斗，更是神来之笔，也预示着另一个循环的开始,2016-08-17 00:26:51,allstar50 rating,3
二三子,看过,尽管带有西方对中国的猎奇视角和趣味，编排，节奏，光影和画面依然是非常完美的，感觉演员的表演还可以更好一些。其实每个人的一生都是在告别过去的日子，过去的人，越是辉煌过，越是跌宕过，告别也就越沉重和痛苦。,2019-01-19 21:47:52,allstar50 rating,2
天诛·可而keer,看过,溥仪只是那个大时代里一个无法左右自己命运的小人物，注定在历史洪流中成为悲剧人物。看着他一次有一次被红门关在内，直到最后才有了自己的自由！！！,2011-12-07 14:12:03,allstar50 rating,0
王家祥悉达多,看过,一个人表面上有多大的自尊，背后就有多大的自卑。这个皇帝至始至终，只是紫禁城里那个最寂寞的孩子，在空无一人，荒草丛生的皇城里奔跑，历史的风将他的衣襟吹得猎猎作响。,2013-04-05 21:27:41,allstar50 rating,1
SilentTyler,看过,"西方视角下的中国近代史, 整片摄影配乐古典唯美, 故事表面波澜不惊却又不乏戏剧张力, 不带主观的态度和各种学院派长镜头, 不愧为当年奥斯卡最佳影片. PS,同时纪念下5天前去世的PeterO'Toole.",2013-12-19 18:28:10,allstar50 rating,0
江枫渔火,看过,一位外国导演，可以拍的如此大气厚重富有史诗感，看得出贝托鲁奇对于历史的敬重和热爱。影片将大量笔墨放在了溥仪在紫禁城中的生活，“门”的意向贯穿始终。接连看了两部由坂本龙一负责配乐的电影，真心佩服！9/10,2017-11-17 14:27:41,allstar50 rating,1
SAndaLs,看过,看看国内的年代 都取材于小人物 立足于窥一斑而见全身 小人物的命运在车轮下随波逐流 看看人家 皇帝 就算你是皇帝又如何 依然如此 取材 刻画 塑造 立意 结构 都相当精彩 至于摄像 哎 更别谈了 ..,2013-11-14 16:22:10,allstar30 rating,0
Tofu,看过,看到最后终于知道的爹妈小时候为什么要我学手风琴了 - 做一个共产主义毛未来的red guard or fuck off.,2017-12-08 00:46:19,allstar50 rating,4
远离人类我搬家,看过,这个溥仪有点帅！恩，内容有点过了 毕竟导演是外国人（2009.6.19）过了10年仔仔细细再一次看了一遍此电影，真的觉得导演拍的很好，溥仪的一生回忆录，门的描画，慈禧那个样子，以及最后的红卫兵，越长大懂的越懂，更加觉得溥仪是被历史选中的人，悲剧的一生的无可奈何，一辈子都被关着没有自由…没有选择的权利一直被选择.哎（2019.11.8）,2009-06-19 01:09:24,allstar50 rating,0
toolass,看过,高中时不算喜欢，大荧幕重看才明白，导演是想表现人的悲哀。非常喜欢文绣出走那段，配乐镜头都妙极了。说甘粕正彦并非举枪自尽而是喝毒酒死的啊。一刷2011/4/14，二刷2016/4/8@耀莱五棵松4K修复3D #北京电影节2016#,2016-04-08,comment-time ,1
乔大路,看过,电影用《美国往事》一样沧桑而伤感的腔调讲述了中国最后一位皇帝傅仪的一生，傅仪走出了所有末代皇帝的命运怪圈，他没有被杀，被囚禁，抑或自杀，他反而经历了这个国家从溃烂走向新生，再由新生误入癫狂的历史，结局当红小兵们再次大呼万岁时，傅仪是否感到了穿越？还是历史的轮盘转了一圈，又回到了起,2012-03-11 20:48:17,allstar40 rating,2
＃kidultcc＃,看过,160408 She is my butterfly. //190101 资料馆跨年场国配版 无论她有多少缺点 我依然坚定地爱着北京,2016-04-08 21:53:56,allstar50 rating,3
海盗格格,看过,我不知道给这部片子贴一个什么样的标签，实在太好了，开始的时候完全不能习惯英语的对白，到后来慢慢的融进去，而导演居然不是中国人，音效，灯光什么完全没的说，导演的功力深厚，很中国。。。,2011-12-24 23:16:52,allstar50 rating,0
毛香菇,看过,每年北影节想看这部，都没人陪我看。由始至终，都像坂本龙一的配乐一样悲悯悲壮。有机会，一定要在大银幕上再看一次。另，尊龙怎么那么好看啊。,2018-04-22 23:06:32,allstar50 rating,2
2B钢笔,看过,看不下去。紫禁城聽到英語覺得很彆扭。覺得他雖然是被命運擺佈，但也顯示出他的無能。敗落后的太監或者監獄中的囚犯，已然沒有智力，僵屍，衹是擔心，得過且过，不知道在這種狀態下笑的出來算不算好事。就像我當兵一樣，一下子到此种沒有尊嚴的地步，我是未能完全接受1，不會甘心。但也要笑著麵對,2012-12-12 17:08:38,allstar30 rating,2
爱丽斯提亚,看过,全力狂奔也追不上的才是最深的依恋，打不开的大门高墙之外才算得上渴望，永远回不去的地方才是家乡。镜头表现堪称严谨的艺术品，紫禁城取景拍出了任何建筑都不会有的超现实感。站在时代漩涡中心的囚笼里，痛苦而高贵的傀儡穷尽一生找到了自己。,2019-04-21 11:42:59,allstar50 rating,1
少女邦辰,看过,我只能说旧时的中国在外国人的镜下也能有如此明亮的色彩。不知道如何来评说，故宫太旧又太美丽，陈冲太惊艳，尊龙生命中最出彩的时候也莫过于此了。有太多印象深刻的戏，还有难以言说的色彩。,2011-10-30 22:38:45,allstar50 rating,0
气急败坏女疯子,看过,溥仪再回故宫宛如隔世。曾经禁居在紫禁城，红色大门把他与外界隔开。后来为了再次原皇帝梦，却被日本政府禁居在伪满洲国，红色大门再次关上。还是拥有自由最好，普普通通最实在吧。,2013-02-24 17:50:19,allstar40 rating,0
